Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;A0A0B4J2D5-2;P0DPI2;P0DPI2-2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	372014
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	162618
A0A0B4J2F2	A0A0B4J2F2	SIK1B_HUMAN	SIK1B	Probable serine/threonine-protein kinase SIK1B	138758
A0A1B0GTU1	A0A1B0GTU1	ZC11B_HUMAN	ZC3H11B	Zinc finger CCCH domain-containing protein 11B	22955
A0A1B0GTU1;O75152	A0A1B0GTU1;O75152	ZC11A_HUMAN;ZC11B_HUMAN	ZC3H11A;ZC3H11B	Zinc finger CCCH domain-containing protein 11B	195725
A0A1B0GUS4	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	Ubiquitin-conjugating enzyme E2 L5	25001
A0A1B0GUS4;P68036	A0A1B0GUS4;P68036;P68036-2;P68036-3	UB2L3_HUMAN;UB2L5_HUMAN	UBE2L3;UBE2L5	Ubiquitin-conjugating enzyme E2 L5	858675
A0AV96	A0AV96;A0AV96-2	RBM47_HUMAN	RBM47	RNA-binding protein 47	178966
A0AVT1	A0AVT1;A0AVT1-2	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	236050
A0FGR8;A0FGR8-2;A0FGR8-6	A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-5;A0FGR8-6	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	521680
A0JLT2;A0JLT2-2	A0JLT2;A0JLT2-2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	28888
A0JNW5	A0JNW5;A0JNW5-2	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	251425
A0MZ66;A0MZ66-3	A0MZ66;A0MZ66-3;A0MZ66-5;A0MZ66-6;A0MZ66-7	SHOT1_HUMAN	SHTN1	Shootin-1	144936
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	135806
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	85733
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	112296
A1L0T0	A1L0T0	ILVBL_HUMAN	ILVBL	Acetolactate synthase-like protein	331779
A1L170;A1L170-2	A1L170;A1L170-2	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	68359
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	15411
A1L390;A1L390-3	A1L390;A1L390-2;A1L390-3	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	40273
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	43021
A2RRD8;P0CJ79	A2RRD8;P0CJ79	ZN320_HUMAN;ZN888_HUMAN	ZNF320;ZNF888	Zinc finger protein 320	143127
A2RRP1	A2RRP1;A2RRP1-2	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	102429
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	70072
A2RUB1;A2RUB1-1;A2RUB1-2;A2RUB1-5	A2RUB1;A2RUB1-2;A2RUB1-1;A2RUB1-5	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	282413
A2RUR9;A2RUR9-2;Q8IYA2	A2RUR9;A2RUR9-2;Q8IYA2	C144A_HUMAN;C144C_HUMAN	CCDC144A;CCDC144CP	Coiled-coil domain-containing protein 144A	134810
A2RUS2;A2RUS2-2	A2RUS2;A2RUS2-2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	11962
A2RUT3	A2RUT3	TMM89_HUMAN	TMEM89	Transmembrane protein 89	115516
