Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,
Unknown,CC25_TT0000158,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,BSA_6fmol_Aurora15_16_TT0000159,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A10,2,,0,0,0,1,,EW,,,,,BSA_6fmol,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20min_DIA003_TT0000160,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,CC25_TT0000161,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000162,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,2,,0,0,0,1,,EW,,,,,HeLa_200pg,
Unknown,HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000163,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:D11,2,,0,0,0,1,,EW,,,,,HeLa_1ng,
Unknown,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000164,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:C11,2,,0,0,0,1,,EW,,,,,HeLa_5ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000165,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000166,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A11,2,,0,0,0,1,,EW,,,,,HeLa_50ng,
Unknown,CC25_TT0000167,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:B12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,CCA_TT0000168,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,BSA_6fmol_Aurora15_16_TT0000169,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A10,2,,0,0,0,1,,EW,,,,,BSA_6fmol,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000170,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,2,,0,0,0,1,,EW,,,,,HeLa_100pg,
