File Name,Path,Instrument Method,Position,Inj Vol,Vial,Separation Method,MS Method,Result Path
CC25_TT0000158,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:A12,2,B:A12,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CC25_TT0000158_B-A12_1_14559.d
BSA_6fmol_Aurora15_16_TT0000159,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A10,2,B:A10,D:\Methods\VNeo\A15\Separation\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\BSA_6fmol_Aurora15_16_TT0000159_B-A10_1_14560.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20min_DIA003_TT0000160,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,1,B:E11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_15_20min_DIA003_TT0000160_B-E11_1_14561.d
CC25_TT0000161,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:A12,2,B:A12,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CC25_TT0000161_B-A12_1_14562.d
HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000162,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,2,B:E11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000162_B-E11_1_14563.d
HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000163,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:D11,2,B:D11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000163_B-D11_1_14564.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000164,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:C11,2,B:C11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000164_B-C11_1_14565.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000165,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:B11,2,B:B11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000165_B-B11_1_14566.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000166,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A11,2,B:A11,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_50ng_2ACN01TFA__0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000166_B-A11_1_14567.d
CC25_TT0000167,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:B12,2,B:A12,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\Blank_T000167_B-A12_1_14568.d
