File Name,Path,Instrument Method,Position,Inj Vol,Sample ID,MS Method,Result Path
CC25_TT0000158,E:\Data\2026_02\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:B12,2,CC25_TT0000257,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_02\Wash\CC25_TT0000257_B-B12_1_14658.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1500Vnopoly_TT0000258,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1500Vnopoly_TT0000258,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT70WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1500Vnopoly_TT0000258_B-A8_1_14659.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1600Vnopoly_TT0000259,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1600Vnopoly_TT0000259,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT70WideV1600noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA70ms1600Vnopoly_TT0000259_B-A8_1_14660.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT40WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260_B-A8_1_14661.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT40WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA40ms1500Vnopoly_TT0000260_B-A8_1_14662.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA50ms1500Vnopoly_TT0000261,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA50ms1500Vnopoly_TT0000261,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT50WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA50ms1500Vnopoly_TT0000261_B-A8_1_14663.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA60ms1500Vnopoly_TT0000262,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A8,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA60ms1500Vnopoly_TT0000262,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT60WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA60ms1500Vnopoly_TT0000262_B-A8_1_14664.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA80ms1500Vnopoly_TT0000263,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA80ms1500Vnopoly_TT0000263,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT80WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA80ms1500Vnopoly_TT0000263_B-A11_1_14665.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA65ms1500Vnopoly_TT0000264,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA65ms1500Vnopoly_TT0000264,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT65WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA65ms1500Vnopoly_TT0000264_B-A11_1_14666.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT80WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265_B-A11_1_14667.d
